ID,Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Industry_Status,Occupation_Status,Race,Hispanic_Origin,Martial_Status,Household_Summary,Citizenship,Birth_Country,Tax_Status,Gains,Losses,Dividends,Income_Status,Income,BC_US,Age_group,revenue,profit,working_age,age+gender,edu_group1,edu_group2,emp_group1,emp_group2,ms_group,cit_group,ho_group,race_group
TRAIN_00000,0.7000000000000001,1,15,2,0.07692307692307693,20,11,4,0,1,4,2,39,4,0.0,0.0,0.0,2,425.0,1,6,0.0,0.27952001143842253,0,13,0,1,2,2,2,1,1,1
TRAIN_00001,0.41111111111111115,1,1,2,1.0,6,11,4,0,4,4,2,39,5,0.0,0.0,0.0,1,0.0,1,3,0.0,0.27952001143842253,1,7,1,3,2,2,0,1,1,1
TRAIN_00002,0.6444444444444445,0,12,2,1.0,11,0,1,0,1,4,2,39,2,0.706601804499097,0.0,0.0,1,860.0,1,5,0.3766442051243873,0.5508846240382255,1,10,0,2,2,2,2,1,1,0
TRAIN_00003,0.48888888888888893,1,12,2,1.0,19,12,4,0,0,4,2,39,5,0.0,0.0,0.0,1,850.0,1,4,0.0,0.27952001143842253,1,9,0,2,2,2,0,1,1,1
TRAIN_00004,0.41111111111111115,0,12,2,1.0,19,10,4,0,0,4,2,39,0,0.0,0.0,0.0,2,570.0,1,3,0.0,0.27952001143842253,1,6,0,2,2,2,0,1,1,1
TRAIN_00005,0.6111111111111112,0,12,2,0.9615384615384616,19,11,4,0,6,4,2,39,5,0.0,0.0,0.5907654446709683,1,300.0,1,5,0.2930592379475338,0.49066332784272626,1,10,0,2,2,2,0,1,1,1
TRAIN_00006,0.7444444444444445,1,15,0,0.0,14,14,4,0,0,4,2,39,4,0.0,0.0,0.0,2,0.0,1,6,0.0,0.27952001143842253,0,13,0,1,0,0,0,1,1,1
TRAIN_00007,0.7111111111111111,1,14,3,0.09615384615384616,14,14,4,0,1,4,2,39,2,0.0,0.0,0.7118484422535716,1,0.0,1,6,0.3531245165112185,0.5339391590552378,0,13,1,3,0,3,2,1,1,1
TRAIN_00008,0.26666666666666666,0,2,0,1.0,19,10,4,0,5,0,2,39,5,0.0,0.0,0.0,1,0.0,1,2,0.0,0.27952001143842253,1,4,1,3,0,0,1,1,1,1
TRAIN_00009,0.5888888888888889,1,12,6,0.576923076923077,4,5,4,0,1,4,2,39,2,0.0,0.0,0.0,1,0.0,1,5,0.0,0.27952001143842253,1,11,0,2,0,4,2,1,1,1
TRAIN_00010,0.6222222222222222,0,12,0,1.0,9,11,1,0,1,7,2,39,3,0.0,0.0,0.0,1,0.0,1,5,0.0,0.27952001143842253,1,10,0,2,0,0,2,1,1,0
TRAIN_00011,0.8333333333333334,0,8,0,0.0,14,14,4,3,1,6,1,4,4,0.0,0.0,0.0,2,0.0,0,7,0.0,0.27952001143842253,0,14,0,1,0,0,2,0,0,1
TRAIN_00012,0.37777777777777777,0,12,2,1.0,10,2,4,0,1,4,1,32,2,0.0,0.0,0.0,1,860.0,0,3,0.0,0.27952001143842253,1,6,0,2,2,2,2,0,1,1
TRAIN_00013,0.4444444444444445,1,6,2,1.0,10,5,4,4,1,7,1,25,2,0.0,0.0,0.0,2,800.0,0,4,0.0,0.27952001143842253,1,9,0,1,2,2,2,0,0,1
TRAIN_00014,0.48888888888888893,1,12,0,1.0,18,9,4,0,1,4,2,39,2,0.0,0.0,0.49496799764136373,0,0.0,1,4,0.2455372864233525,0.4564247127521603,1,9,0,2,0,0,2,1,1,1
TRAIN_00015,0.23333333333333334,0,4,2,0.7692307692307693,5,9,4,0,5,0,2,39,4,0.0,0.0,0.0,1,400.0,1,2,0.0,0.27952001143842253,1,4,1,3,2,2,1,1,1,1
TRAIN_00016,0.11111111111111112,1,3,0,0.0,14,14,4,0,5,2,2,39,4,0.0,0.0,0.0,2,0.0,1,1,0.0,0.27952001143842253,0,3,0,0,0,0,1,1,1,1
TRAIN_00017,0.5333333333333333,0,2,0,1.0,7,6,4,0,0,4,2,39,5,0.0,0.0,0.0,1,850.0,1,4,0.0,0.27952001143842253,1,8,1,3,0,0,0,1,1,1
TRAIN_00018,0.4,1,1,2,0.38461538461538464,9,11,4,0,1,4,2,39,2,0.0,0.0,0.3593419352800482,2,672.0,1,3,0.17825767343994767,0.4079510979594494,1,7,1,3,2,2,2,1,1,1
TRAIN_00019,0.32222222222222224,0,4,0,1.0,7,0,4,0,1,4,2,39,2,0.0,0.0,0.0,2,950.0,1,2,0.0,0.27952001143842253,1,4,1,3,0,0,2,1,1,1
TRAIN_00020,0.3111111111111111,0,12,2,1.0,19,11,4,1,5,4,2,39,5,0.0,0.0,0.0,1,500.0,1,2,0.0,0.27952001143842253,1,4,0,2,2,2,1,1,0,1
TRAIN_00021,0.17777777777777778,0,8,3,0.2692307692307693,14,14,4,0,5,2,2,39,5,0.0,0.0,0.0,1,0.0,1,1,0.0,0.27952001143842253,0,2,0,1,0,3,1,1,1,1
TRAIN_00022,0.34444444444444444,0,11,0,0.0,14,14,4,7,3,4,4,33,4,0.0,0.0,0.0,2,0.0,0,3,0.0,0.27952001143842253,1,6,0,1,0,0,2,1,0,1
TRAIN_00023,0.8444444444444444,1,11,0,0.0,14,14,4,0,1,4,0,10,1,0.0,0.0,0.0,1,0.0,0,7,0.0,0.27952001143842253,0,15,0,1,0,0,2,0,1,1
TRAIN_00024,0.43333333333333335,0,12,2,1.0,5,6,4,5,1,7,2,39,2,0.0,0.0,0.0,1,1367.0,1,3,0.0,0.27952001143842253,1,6,0,2,2,2,2,1,0,1
TRAIN_00025,0.5444444444444445,1,12,2,1.0,21,0,4,0,1,4,2,39,2,0.0,0.0,0.0,2,1200.0,1,4,0.0,0.27952001143842253,1,9,0,2,2,2,2,1,1,1
TRAIN_00026,0.4444444444444445,1,4,0,1.0,12,8,4,0,1,4,2,39,2,0.0,0.0,0.0,1,0.0,1,4,0.0,0.27952001143842253,1,9,1,3,0,0,2,1,1,1
TRAIN_00027,0.6666666666666667,1,4,0,1.0,23,2,2,0,1,4,2,39,2,0.0,0.0,0.0,1,1100.0,1,6,0.0,0.27952001143842253,1,13,1,3,0,0,2,1,1,0
TRAIN_00028,0.7000000000000001,1,14,3,0.11538461538461539,14,14,4,0,1,4,2,39,2,0.0,0.0,0.0,2,0.0,1,6,0.0,0.27952001143842253,0,13,1,3,0,3,2,1,1,1
TRAIN_00029,0.16666666666666669,0,15,0,0.23076923076923078,20,11,4,0,5,2,2,39,4,0.0,0.0,0.0,1,0.0,1,1,0.0,0.27952001143842253,0,2,0,1,0,0,1,1,1,1
TRAIN_00030,0.6555555555555556,1,0,0,0.9230769230769231,20,2,4,0,1,4,2,39,2,0.7726526727300962,0.0,0.0,0,800.0,1,5,0.41185169625197626,0.5762509168431127,1,11,1,3,0,0,2,1,1,1
TRAIN_00031,0.2555555555555556,0,2,1,0.576923076923077,9,8,4,0,5,4,2,39,5,0.0,0.0,0.0,2,1800.0,1,2,0.0,0.27952001143842253,1,4,1,3,1,1,1,1,1,1
TRAIN_00032,0.23333333333333334,1,4,2,1.0,18,0,4,0,5,0,2,39,5,0.0,0.0,0.0,1,500.0,1,2,0.0,0.27952001143842253,1,5,1,3,2,2,1,1,1,1
TRAIN_00033,0.3888888888888889,1,12,2,1.0,4,2,4,0,1,4,3,10,2,0.7428491822035788,0.0,0.0,1,1600.0,0,3,0.3959653626368932,0.5648051313818322,1,7,0,2,2,2,2,1,1,1
TRAIN_00034,0.6111111111111112,1,12,0,1.0,10,5,2,0,1,4,2,39,2,0.0,0.0,0.3632313309401696,0,0.0,1,5,0.18018707425123998,0.4093411926339,1,11,0,2,0,0,2,1,1,0
TRAIN_00035,0.17777777777777778,0,8,3,0.0,14,14,4,7,5,2,2,39,4,0.0,0.0,0.0,1,0.0,1,1,0.0,0.27952001143842253,0,2,0,1,0,3,1,1,0,1
TRAIN_00036,0.3888888888888889,1,2,2,1.0,21,13,0,0,1,7,1,23,2,0.0,0.0,0.0,1,1400.0,0,3,0.0,0.27952001143842253,1,7,1,3,2,2,2,0,1,0
TRAIN_00037,0.6333333333333333,1,2,2,1.0,18,6,4,0,3,4,2,39,5,0.0,0.0,0.0,0,0.0,1,5,0.0,0.27952001143842253,1,11,1,3,2,2,2,1,1,1
TRAIN_00038,0.18888888888888888,0,9,0,1.0,12,11,4,0,5,6,2,39,5,0.0,0.0,0.0,2,0.0,1,1,0.0,0.27952001143842253,0,2,0,1,0,0,1,1,1,1
TRAIN_00039,0.2,1,9,0,0.0,14,14,4,0,5,0,2,39,4,0.0,0.0,0.0,1,0.0,1,1,0.0,0.27952001143842253,0,3,0,1,0,0,1,1,1,1
TRAIN_00040,0.32222222222222224,0,2,2,1.0,11,6,4,0,1,7,2,39,2,0.0,0.0,0.0,1,650.0,1,2,0.0,0.27952001143842253,1,4,1,3,2,2,2,1,1,1
TRAIN_00041,0.07777777777777778,1,3,0,0.0,14,14,4,0,5,2,2,39,4,0.0,0.0,0.0,1,0.0,1,0,0.0,0.27952001143842253,0,1,0,0,0,0,1,1,1,1
TRAIN_00042,0.5777777777777778,1,12,2,1.0,21,13,1,0,1,4,2,39,2,0.0,0.0,0.46827270871430116,1,600.0,1,5,0.23229463470713468,0.44688364719513474,1,11,0,2,2,2,2,1,1,0
TRAIN_00043,0.2555555555555556,0,12,2,1.0,19,10,4,0,3,0,2,39,0,0.0,0.0,0.0,1,500.0,1,2,0.0,0.27952001143842253,1,4,0,2,2,2,2,1,1,1
TRAIN_00044,0.7000000000000001,1,12,2,1.0,10,2,4,0,1,4,2,39,2,0.0,0.0,0.0,2,1200.0,1,6,0.0,0.27952001143842253,0,13,0,2,2,2,2,1,1,1
TRAIN_00045,0.45555555555555555,1,4,2,1.0,18,9,4,1,1,4,1,3,2,1.0,0.0,0.0,0,0.0,0,4,0.5330360080121598,0.6635617883939323,1,9,1,3,2,2,2,0,0,1
TRAIN_00046,0.4666666666666667,0,2,0,0.9615384615384616,20,8,4,0,1,7,2,39,2,0.0,0.0,0.0,1,545.0,1,4,0.0,0.27952001143842253,1,8,1,3,0,0,2,1,1,1
TRAIN_00047,0.33333333333333337,1,12,0,1.0,10,0,4,0,5,4,2,39,5,0.0,0.9071981091300455,0.0,1,0.0,1,3,0.0,0.025939985597476956,1,7,0,2,0,0,1,1,1,1
TRAIN_00048,0.18888888888888888,1,8,0,0.5,19,4,4,0,5,2,2,39,5,0.0,0.0,0.0,1,550.0,1,1,0.0,0.27952001143842253,0,3,0,1,0,0,1,1,1,1
TRAIN_00049,0.3111111111111111,1,4,0,1.0,19,6,0,0,1,4,0,30,2,0.0,0.0,0.0,1,1030.0,0,2,0.0,0.27952001143842253,1,5,1,3,0,0,2,0,1,0
TRAIN_00050,0.4666666666666667,1,4,2,1.0,21,0,4,0,1,4,2,39,2,0.7726526727300962,0.0,0.30408463165979976,2,1400.0,1,4,0.5626980452211694,0.6849326926229926,1,9,1,3,2,2,2,1,1,1
TRAIN_00051,0.2,0,4,2,1.0,5,11,4,0,5,0,2,39,5,0.0,0.0,0.0,2,550.0,1,1,0.0,0.27952001143842253,0,2,1,3,2,2,1,1,1,1
TRAIN_00052,0.4777777777777778,1,12,0,1.0,11,2,4,0,1,4,2,39,2,0.0,0.0,0.0,1,1000.0,1,4,0.0,0.27952001143842253,1,9,0,2,0,0,2,1,1,1
TRAIN_00053,0.6111111111111112,0,12,0,1.0,15,6,4,0,1,7,2,39,2,0.0,0.0,0.0,0,2400.0,1,5,0.0,0.27952001143842253,1,10,0,2,0,0,2,1,1,1
TRAIN_00054,0.24444444444444446,0,4,2,0.38461538461538464,16,11,4,6,5,0,2,39,5,0.0,0.0,0.0,2,500.0,1,2,0.0,0.27952001143842253,1,4,1,3,2,2,1,1,0,1
TRAIN_00055,0.6777777777777778,1,15,0,0.0,14,14,1,0,1,4,2,39,2,0.0,0.0,0.0,1,0.0,1,6,0.0,0.27952001143842253,0,13,0,1,0,0,2,1,1,0
TRAIN_00056,0.18888888888888888,0,8,3,0.0,14,14,4,0,5,5,2,39,4,0.0,0.0,0.0,1,0.0,1,1,0.0,0.27952001143842253,0,2,0,1,0,3,1,1,1,1
TRAIN_00057,0.5888888888888889,0,12,0,0.576923076923077,16,10,4,0,6,4,2,39,5,0.0,0.0,0.0,2,500.0,1,5,0.0,0.27952001143842253,1,10,0,2,0,0,0,1,1,1
TRAIN_00058,0.5111111111111112,0,2,2,1.0,20,8,4,0,0,4,2,39,5,0.0,0.0,0.0,1,2000.0,1,4,0.0,0.27952001143842253,1,8,1,3,2,2,0,1,1,1
TRAIN_00059,0.7000000000000001,1,7,0,0.0,14,14,4,0,1,4,2,39,4,0.0,0.0,0.0,1,0.0,1,6,0.0,0.27952001143842253,0,13,0,1,0,0,2,1,1,1
TRAIN_00060,0.2111111111111111,0,4,0,0.576923076923077,18,10,4,0,5,6,2,39,5,0.0,0.0,0.0,1,0.0,1,1,0.0,0.27952001143842253,0,2,1,3,0,0,1,1,1,1
TRAIN_00061,0.5333333333333333,0,12,2,1.0,19,10,4,0,1,7,2,39,2,0.0,0.0,0.0,2,700.0,1,4,0.0,0.27952001143842253,1,8,0,2,2,2,2,1,1,1
TRAIN_00062,0.6777777777777778,0,12,0,0.0,14,14,4,0,1,7,2,39,2,0.0,0.0,0.0,2,0.0,1,6,0.0,0.27952001143842253,0,12,0,2,0,0,2,1,1,1
TRAIN_00063,0.3,0,12,0,1.0,19,10,1,0,1,7,2,39,2,0.0,0.0,0.0,2,425.0,1,2,0.0,0.27952001143842253,1,4,0,2,0,0,2,1,1,0
TRAIN_00064,0.4222222222222222,0,4,2,0.8461538461538463,10,5,1,0,6,4,2,39,0,0.0,0.0,0.0,1,0.0,1,3,0.0,0.27952001143842253,1,6,1,3,2,2,0,1,1,0
TRAIN_00065,0.5555555555555556,1,4,0,1.0,19,11,4,5,5,4,2,39,5,0.0,0.0,0.0,2,213.0,1,5,0.0,0.27952001143842253,1,11,1,3,0,0,1,1,0,1
TRAIN_00066,0.3888888888888889,1,4,0,1.0,21,2,4,0,1,4,2,39,2,0.0,0.0,0.33445695169857426,1,1600.0,1,3,0.16591305445366722,0.39905704701341704,1,7,1,3,0,0,2,1,1,1
TRAIN_00067,0.3111111111111111,0,12,2,1.0,12,11,1,0,5,0,2,39,5,0.0,0.0,0.0,2,600.0,1,2,0.0,0.27952001143842253,1,4,0,2,2,2,1,1,1,0
TRAIN_00068,0.4222222222222222,0,12,2,1.0,9,6,4,0,1,7,2,39,2,0.0,0.0,0.0,1,988.0,1,3,0.0,0.27952001143842253,1,6,0,2,2,2,2,1,1,1
TRAIN_00069,0.2888888888888889,1,12,2,1.0,2,11,4,1,5,4,1,40,0,0.0,0.0,0.0,1,700.0,0,2,0.0,0.27952001143842253,1,5,0,2,2,2,1,0,0,1
TRAIN_00070,0.3,0,2,2,1.0,12,0,4,0,5,0,2,39,5,0.0,0.8995041389620314,0.0,2,0.0,1,2,0.0,0.028090604226847116,1,4,1,3,2,2,1,1,1,1
TRAIN_00071,0.05555555555555556,0,3,0,0.0,14,14,4,0,5,2,2,39,4,0.0,0.0,0.0,2,0.0,1,0,0.0,0.27952001143842253,0,0,0,0,0,0,1,1,1,1
TRAIN_00072,0.37777777777777777,1,4,2,0.8461538461538463,7,6,4,0,1,7,2,39,2,0.0,0.0,0.0,2,1000.0,1,3,0.0,0.27952001143842253,1,7,1,3,2,2,2,1,1,1
TRAIN_00073,0.34444444444444444,0,4,1,1.0,11,0,4,0,1,7,2,39,2,0.0,0.0,0.0,1,0.0,1,3,0.0,0.27952001143842253,1,6,1,3,1,1,2,1,1,1
TRAIN_00074,0.4,0,12,0,1.0,20,0,4,0,1,7,2,39,2,0.0,0.0,0.0,2,500.0,1,3,0.0,0.27952001143842253,1,6,0,2,0,0,2,1,1,1
TRAIN_00075,0.9,0,4,0,0.0,14,14,4,0,1,7,2,39,1,0.0,0.0,0.0,1,0.0,1,8,0.0,0.27952001143842253,0,16,1,3,0,0,2,1,1,1
TRAIN_00076,0.5222222222222223,0,7,2,1.0,10,2,4,0,1,4,0,21,2,0.0,0.0,0.0,1,902.0,0,4,0.0,0.27952001143842253,1,8,0,1,2,2,2,0,1,1
TRAIN_00077,0.2777777777777778,1,12,0,1.0,23,4,4,0,5,6,2,39,5,0.0,0.0,0.0,2,500.0,1,2,0.0,0.27952001143842253,1,5,0,2,0,0,1,1,1,1
TRAIN_00078,0.45555555555555555,0,12,0,1.0,11,5,4,0,1,7,2,39,2,0.0,0.0,0.0,1,0.0,1,4,0.0,0.27952001143842253,1,8,0,2,0,0,2,1,1,1
TRAIN_00079,0.2111111111111111,1,12,0,0.7692307692307693,19,10,4,0,5,0,2,39,5,0.0,0.0,0.0,1,500.0,1,1,0.0,0.27952001143842253,0,3,0,2,0,0,1,1,1,1
TRAIN_00080,0.13333333333333333,0,3,0,0.0,14,14,4,0,5,2,2,39,4,0.0,0.0,0.0,1,0.0,1,1,0.0,0.27952001143842253,0,2,0,0,0,0,1,1,1,1
TRAIN_00081,0.7111111111111111,1,12,0,1.0,4,2,4,0,0,4,2,39,5,0.0,0.0,0.7741234834517797,2,1570.0,1,6,0.38401710896280106,0.5561966537113914,0,13,0,2,0,0,0,1,1,1
TRAIN_00082,0.48888888888888893,1,4,0,1.0,10,5,4,0,1,4,2,39,2,0.0,0.0,0.4798816887258909,1,2100.0,1,4,0.23805346651802278,0.45103277027237143,1,9,1,3,0,0,2,1,1,1
TRAIN_00083,0.3,0,12,0,0.23076923076923078,19,0,4,0,1,7,2,39,2,0.0,0.0,0.0,1,0.0,1,2,0.0,0.27952001143842253,1,4,0,2,0,0,2,1,1,1
TRAIN_00084,0.5777777777777778,1,12,2,1.0,4,2,4,0,1,4,2,39,2,0.8353628961349554,0.0,0.0,0,0.0,1,5,0.4452785033972531,0.6003342624727918,1,11,0,2,2,2,2,1,1,1
TRAIN_00085,0.24444444444444446,1,4,2,0.8076923076923077,5,0,4,0,5,0,2,39,5,0.0,0.0,0.0,1,475.0,1,2,0.0,0.27952001143842253,1,5,1,3,2,2,1,1,1,1
TRAIN_00086,0.7333333333333334,0,12,0,0.0,14,14,4,0,1,7,2,39,3,0.0,0.0,0.0,2,0.0,1,6,0.0,0.27952001143842253,0,12,0,2,0,0,2,1,1,1
TRAIN_00087,0.2777777777777778,1,8,0,1.0,10,5,4,0,1,4,2,39,2,0.0,0.0,0.0,1,700.0,1,2,0.0,0.27952001143842253,1,5,0,1,0,0,2,1,1,1
TRAIN_00088,0.5777777777777778,1,12,2,1.0,10,5,1,0,1,4,1,38,2,0.0,0.0,0.0,1,1400.0,0,5,0.0,0.27952001143842253,1,11,0,2,2,2,2,0,1,0
TRAIN_00089,0.16666666666666669,0,8,0,0.11538461538461539,17,7,4,0,5,2,2,39,4,0.0,0.0,0.0,1,200.0,1,1,0.0,0.27952001143842253,0,2,0,1,0,0,1,1,1,1
TRAIN_00090,0.45555555555555555,1,12,0,1.0,10,2,4,0,1,4,2,39,2,0.0,0.0,0.22380033626335105,2,1100.0,1,4,0.11101995993396085,0.3595076709017494,1,9,0,2,0,0,2,1,1,1
TRAIN_00091,0.3888888888888889,1,5,2,1.0,7,6,4,0,1,4,2,39,2,0.0,0.0,0.49496799764136373,0,0.0,1,3,0.2455372864233525,0.4564247127521603,1,7,1,3,2,2,2,1,1,1
TRAIN_00092,0.5444444444444445,1,1,5,1.0,10,8,4,0,1,4,2,39,2,0.7771739721807813,0.0,0.2841513359875215,0,1700.0,1,4,0.5552198105785213,0.6795447742131968,1,9,1,3,1,1,2,1,1,1
TRAIN_00093,0.16666666666666669,0,15,0,0.09615384615384616,14,14,4,4,5,2,1,25,4,0.0,0.0,0.0,1,0.0,0,1,0.0,0.27952001143842253,0,2,0,1,0,0,1,0,0,1
TRAIN_00094,0.3,1,4,0,0.9615384615384616,19,2,4,0,1,4,2,39,2,0.0,0.9104904091519014,0.0,2,575.0,1,2,0.0,0.025019721857709065,1,5,1,3,0,0,2,1,1,1
TRAIN_00095,0.23333333333333334,1,7,0,1.0,10,4,4,4,1,4,1,25,2,0.0,0.0,0.0,1,600.0,0,2,0.0,0.27952001143842253,1,5,0,1,0,0,2,0,0,1
TRAIN_00096,0.2888888888888889,0,14,0,1.0,5,8,4,0,1,7,2,39,2,0.0,0.0,0.0,1,1240.0,1,2,0.0,0.27952001143842253,1,4,1,3,0,0,2,1,1,1
TRAIN_00097,0.32222222222222224,0,4,2,1.0,19,10,4,0,1,7,2,39,2,0.0,0.0,0.0,2,750.0,1,2,0.0,0.27952001143842253,1,4,1,3,2,2,2,1,1,1
