ID,Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Industry_Status,Occupation_Status,Race,Hispanic_Origin,Martial_Status,Household_Summary,Citizenship,Birth_Country,Tax_Status,Gains,Losses,Dividends,Income_Status,Income,BC_US,Age_group,revenue,profit,working_age,age+gender,edu_group1,edu_group2,emp_group1,emp_group2,ms_group,cit_group,ho_group,race_group
TRAIN_00000,1.2083333333333333,1,15,2,-1.0666666666666667,20,11,4,0,1,4,2,39,4,0.0,0.0,0.0,2,425.0,1,6,0.0,0.0,0,13,0,1,2,2,2,1,1,1
TRAIN_00001,0.125,1,1,2,0.0,6,11,4,0,4,4,2,39,5,0.0,0.0,0.0,1,0.0,1,3,0.0,0.0,1,7,1,3,2,2,0,1,1,1
TRAIN_00002,1.0,0,12,2,0.0,11,0,1,0,1,4,2,39,2,8.13505390861157,0.0,0.0,1,860.0,1,5,8.13505390861157,8.13505390861157,1,10,0,2,2,2,2,1,1,0
TRAIN_00003,0.4166666666666667,1,12,2,0.0,19,12,4,0,0,4,2,39,5,0.0,0.0,0.0,1,850.0,1,4,0.0,0.0,1,9,0,2,2,2,0,1,1,1
TRAIN_00004,0.125,0,12,2,0.0,19,10,4,0,0,4,2,39,0,0.0,0.0,0.0,2,570.0,1,3,0.0,0.0,1,6,0,2,2,2,0,1,1,1
TRAIN_00005,0.875,0,12,2,-0.044444444444444446,19,11,4,0,6,4,2,39,5,0.0,0.0,6.329720905522696,1,300.0,1,5,6.329720905522696,6.329720905522696,1,10,0,2,2,2,0,1,1,1
TRAIN_00006,1.375,1,15,0,-1.1555555555555554,14,14,4,0,0,4,2,39,4,0.0,0.0,0.0,2,0.0,1,6,0.0,0.0,0,13,0,1,0,0,0,1,1,1
TRAIN_00007,1.25,1,14,3,-1.0444444444444445,14,14,4,0,1,4,2,39,2,0.0,0.0,7.627057417018934,1,0.0,1,6,7.627057417018934,7.627057417018934,0,13,1,3,0,3,2,1,1,1
TRAIN_00008,-0.4166666666666667,0,2,0,0.0,19,10,4,0,5,0,2,39,5,0.0,0.0,0.0,1,0.0,1,2,0.0,0.0,1,4,1,3,0,0,1,1,1,1
TRAIN_00009,0.7916666666666666,1,12,6,-0.4888888888888889,4,5,4,0,1,4,2,39,2,0.0,0.0,0.0,1,0.0,1,5,0.0,0.0,1,11,0,2,0,4,2,1,1,1
TRAIN_00010,0.9166666666666666,0,12,0,0.0,9,11,1,0,1,7,2,39,3,0.0,0.0,0.0,1,0.0,1,5,0.0,0.0,1,10,0,2,0,0,2,1,1,0
TRAIN_00011,1.7083333333333333,0,8,0,-1.1555555555555554,14,14,4,3,1,6,1,4,4,0.0,0.0,0.0,2,0.0,0,7,0.0,0.0,0,14,0,1,0,0,2,0,0,1
TRAIN_00012,0.0,0,12,2,0.0,10,2,4,0,1,4,1,32,2,0.0,0.0,0.0,1,860.0,0,3,0.0,0.0,1,6,0,2,2,2,2,0,1,1
TRAIN_00013,0.25,1,6,2,0.0,10,5,4,5,1,7,1,25,2,0.0,0.0,0.0,2,800.0,0,4,0.0,0.0,1,9,0,1,2,2,2,0,0,1
TRAIN_00014,0.4166666666666667,1,12,0,0.0,18,9,4,0,1,4,2,39,2,0.0,0.0,5.303304908059076,0,0.0,1,4,5.303304908059076,5.303304908059076,1,9,0,2,0,0,2,1,1,1
TRAIN_00015,-0.5416666666666666,0,4,2,-0.26666666666666666,5,9,4,0,5,0,2,39,4,0.0,0.0,0.0,1,400.0,1,2,0.0,0.0,1,4,1,3,2,2,1,1,1,1
TRAIN_00016,-1.0,1,3,0,-1.1555555555555554,14,14,4,0,5,2,2,39,4,0.0,0.0,0.0,2,0.0,1,1,0.0,0.0,0,3,0,0,0,0,1,1,1,1
TRAIN_00017,0.5833333333333334,0,2,0,0.0,7,6,4,0,0,4,2,39,5,0.0,0.0,0.0,1,850.0,1,4,0.0,0.0,1,8,1,3,0,0,0,1,1,1
TRAIN_00018,0.08333333333333333,1,1,2,-0.7111111111111111,9,11,4,0,1,4,2,39,2,0.0,0.0,3.8501476017100584,2,672.0,1,3,3.8501476017100584,3.8501476017100584,1,7,1,3,2,2,2,1,1,1
TRAIN_00019,-0.20833333333333334,0,4,0,0.0,7,0,4,0,1,4,2,39,2,0.0,0.0,0.0,2,950.0,1,2,0.0,0.0,1,4,1,3,0,0,2,1,1,1
TRAIN_00020,-0.25,0,12,2,0.0,19,11,4,1,5,4,2,39,5,0.0,0.0,0.0,1,500.0,1,2,0.0,0.0,1,4,0,2,2,2,1,1,0,1
TRAIN_00021,-0.75,0,8,3,-0.8444444444444444,14,14,4,0,5,2,2,39,5,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0,2,0,1,0,3,1,1,1,1
TRAIN_00022,-0.125,0,11,0,-1.1555555555555554,14,14,4,9,3,4,4,33,4,0.0,0.0,0.0,2,0.0,0,3,0.0,0.0,1,6,0,1,0,0,2,1,0,1
TRAIN_00023,1.75,1,11,0,-1.1555555555555554,14,14,4,0,1,4,0,10,1,0.0,0.0,0.0,1,0.0,0,7,0.0,0.0,0,15,0,1,0,0,2,0,1,1
TRAIN_00024,0.20833333333333334,0,12,2,0.0,5,6,4,6,1,7,2,39,2,0.0,0.0,0.0,1,1367.0,1,3,0.0,0.0,1,6,0,2,2,2,2,1,0,1
TRAIN_00025,0.625,1,12,2,0.0,21,0,4,0,1,4,2,39,2,0.0,0.0,0.0,2,1200.0,1,4,0.0,0.0,1,9,0,2,2,2,2,1,1,1
TRAIN_00026,0.25,1,4,0,0.0,12,8,4,0,1,4,2,39,2,0.0,0.0,0.0,1,0.0,1,4,0.0,0.0,1,9,1,3,0,0,2,1,1,1
TRAIN_00027,1.0833333333333333,1,4,0,0.0,23,2,2,0,1,4,2,39,2,0.0,0.0,0.0,1,1100.0,1,6,0.0,0.0,1,13,1,3,0,0,2,1,1,0
TRAIN_00028,1.2083333333333333,1,14,3,-1.0222222222222221,14,14,4,0,1,4,2,39,2,0.0,0.0,0.0,2,0.0,1,6,0.0,0.0,0,13,1,3,0,3,2,1,1,1
TRAIN_00029,-0.7916666666666666,0,15,0,-0.8888888888888888,20,11,4,0,5,2,2,39,4,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0,2,0,1,0,0,1,1,1,1
TRAIN_00030,1.0416666666666667,1,0,0,-0.08888888888888889,20,2,4,0,1,4,2,39,2,8.895492631451633,0.0,0.0,0,800.0,1,5,8.895492631451633,8.895492631451633,1,11,1,3,0,0,2,1,1,1
TRAIN_00031,-0.4583333333333333,0,2,1,-0.4888888888888889,9,8,4,0,5,4,2,39,5,0.0,0.0,0.0,2,1800.0,1,2,0.0,0.0,1,4,1,3,1,1,1,1,1,1
TRAIN_00032,-0.5416666666666666,1,4,2,0.0,18,0,4,0,5,0,2,39,5,0.0,0.0,0.0,1,500.0,1,2,0.0,0.0,1,5,1,3,2,2,1,1,1,1
