ID,Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Industry_Status,Occupation_Status,Race,Hispanic_Origin,Martial_Status,Household_Summary,Citizenship,Birth_Country,Tax_Status,Gains,Losses,Dividends,Income_Status,Income,BC_US,Age_group,revenue,profit,working_age,age+gender,edu_group1,edu_group2,emp_group1,emp_group2,ms_group,cit_group,ho_group,race_group
TRAIN_00000,63,1,15,2,4,20,11,4,0,1,4,2,39,4,0.0,0.0,0.0,2,425.0,1,6,0.0,0.0,0,13,0,1,1,1,0,0,0,0
TRAIN_00001,37,1,1,2,52,6,11,4,0,4,4,2,39,5,0.0,0.0,0.0,1,0.0,1,3,0.0,0.0,1,7,1,3,1,1,2,0,0,0
TRAIN_00002,58,0,12,2,52,11,0,1,0,1,4,2,39,2,8.13505390861157,0.0,0.0,1,860.0,1,5,8.13505390861157,8.13505390861157,1,10,0,2,1,1,0,0,0,1
TRAIN_00003,44,1,12,2,52,19,12,4,0,0,4,2,39,5,0.0,0.0,0.0,1,850.0,1,4,0.0,0.0,1,9,0,2,1,1,2,0,0,0
TRAIN_00004,37,0,12,2,52,19,10,4,0,0,4,2,39,0,0.0,0.0,0.0,2,570.0,1,3,0.0,0.0,1,6,0,2,1,1,2,0,0,0
TRAIN_00005,55,0,12,2,50,19,11,4,0,6,4,2,39,5,0.0,0.0,6.329720905522696,1,300.0,1,5,6.329720905522696,6.329720905522696,1,10,0,2,1,1,2,0,0,0
TRAIN_00006,67,1,15,0,0,14,14,4,0,0,4,2,39,4,0.0,0.0,0.0,2,0.0,1,6,0.0,0.0,0,13,0,1,2,2,2,0,0,0
TRAIN_00007,64,1,14,3,5,14,14,4,0,1,4,2,39,2,0.0,0.0,7.627057417018934,1,0.0,1,6,7.627057417018934,7.627057417018934,0,13,1,3,2,4,0,0,0,0
TRAIN_00008,24,0,2,0,52,19,10,4,0,5,0,2,39,5,0.0,0.0,0.0,1,0.0,1,2,0.0,0.0,1,4,1,3,2,2,1,0,0,0
TRAIN_00009,53,1,12,6,30,4,5,4,0,1,4,2,39,2,0.0,0.0,0.0,1,0.0,1,5,0.0,0.0,1,11,0,2,2,3,0,0,0,0
TRAIN_00010,56,0,12,0,52,9,11,1,0,1,7,2,39,3,0.0,0.0,0.0,1,0.0,1,5,0.0,0.0,1,10,0,2,2,2,0,0,0,1
